OccuranceID,Species,Latitude,Longitude,ChecklistID,Date.observed,Year,Month,Day,Start.time,End.time
18249,Danaus plexippus,43.371869,-80.360345,5315,2012-08-07,2012,8,7,02:08,03:08
18268,Danaus plexippus,43.384268,-80.373756,5319,2012-06-06,2012,6,6,02:08,03:08
18298,Danaus plexippus,43.384268,-80.373756,5323,2012-07-05,2012,7,5,02:08,03:08
18313,Danaus plexippus,43.384268,-80.373756,5324,2012-07-13,2012,7,13,03:08,04:08
18334,Danaus plexippus,43.384268,-80.373756,5326,2012-07-23,2012,7,23,03:08,04:08
18352,Danaus plexippus,43.384268,-80.373756,5328,2012-08-07,2012,8,7,03:08,04:08
18509,Danaus plexippus,43.695778,-79.255685,5400,2012-05-04,2012,5,4,10:08,11:08
18531,Danaus plexippus,43.649294,-79.324304,5405,2012-05-04,2012,5,4,10:08,11:08
18555,Danaus plexippus,43.706924,-79.238978,5413,2012-05-11,2012,5,11,10:08,11:08
18574,Danaus plexippus,43.814685,-79.162159,5417,2012-05-15,2012,5,15,11:08,12:08
18634,Danaus plexippus,43.878834,-78.808396,5435,2012-08-11,2012,8,11,09:30,09:50
18641,Danaus plexippus,43.911193,-78.755654,5437,2012-08-11,2012,8,11,11:00,11:10
18661,Danaus plexippus,44.027944,-78.542623,5440,2012-08-11,2012,8,11,12:00,12:40
18676,Danaus plexippus,43.878834,-78.808396,5453,2012-08-11,2012,8,11,17:20,17:25
18688,Danaus plexippus,43.706924,-79.238978,5454,2012-05-18,2012,5,18,07:08,08:08
18715,Danaus plexippus,43.814685,-79.162159,5458,2012-05-23,2012,5,23,08:08,09:08
18748,Danaus plexippus,43.814685,-79.162159,5461,2012-05-31,2012,5,31,09:08,10:08
18795,Danaus plexippus,45.429468,-75.982459,5475,2012-08-12,2012,8,12,09:00,09:30
18808,Danaus plexippus,43.695778,-79.255685,5477,2012-08-12,2012,8,12,06:08,07:08
18937,Danaus plexippus,44.6089,-63.6142,5518,2012-07-25,2012,7,25,09:08,10:08
19029,Danaus plexippus,45.281867,-75.742675,5549,2012-08-12,2012,8,12,08:00,11:00
19033,Danaus plexippus,45.56051,-73.557675,5550,2012-08-13,2012,8,13,13:00,13:10
19042,Danaus plexippus,45.429468,-75.982459,5553,2012-08-13,2012,8,13,11:30,12:00
19053,Danaus plexippus,43.853598,-78.965854,5554,2012-08-12,2012,8,12,09:00,10:30
19057,Danaus plexippus,43.878834,-78.808396,5555,2012-08-12,2012,8,12,10:45,11:15
19061,Danaus plexippus,43.869286,-78.80299,5556,2012-08-12,2012,8,12,11:15,12:15
19068,Danaus plexippus,43.817317,-79.072284,5557,2012-08-12,2012,8,12,14:30,15:20
19098,Danaus plexippus,43.745291,-80.945851,5576,2012-08-13,2012,8,13,15:00,15:15
19105,Danaus plexippus,43.769588,-80.91906,5577,2012-08-13,2012,8,13,15:15,15:30
19118,Danaus plexippus,45.304696,-75.857668,5583,2012-08-12,2012,8,12,13:30,16:00
19127,Danaus plexippus,45.402854,-75.585412,5584,2012-08-13,2012,8,13,09:08,10:08
19136,Danaus plexippus,45.395381,-75.513286,5585,2012-08-13,2012,8,13,09:08,10:08
19147,Danaus plexippus,45.36774,-75.235158,5586,2012-08-13,2012,8,13,10:08,11:08
19159,Danaus plexippus,45.374403,-75.221147,5587,2012-08-13,2012,8,13,10:08,11:08
19165,Danaus plexippus,43.9924,-77.73179,5589,2012-08-13,2012,8,13,12:25,15:00
19171,Danaus plexippus,43.733507,-79.358856,5590,2012-08-13,2012,8,13,15:45,16:45
19176,Danaus plexippus,49.169723,-122.965476,5595,2012-07-12,2012,7,12,13:00,13:30
19187,Danaus plexippus,45.429468,-75.982459,5604,2012-08-14,2012,8,14,12:00,12:30
19255,Danaus plexippus,42.09988,-82.492049,5630,2012-07-29,2012,7,29,02:08,03:08
19274,Danaus plexippus,42.09988,-82.492049,5633,2012-08-01,2012,8,1,03:08,04:08
19282,Danaus plexippus,42.09988,-82.492049,5634,2012-08-02,2012,8,2,03:08,04:08
19292,Danaus plexippus,42.09988,-82.492049,5635,2012-08-03,2012,8,3,03:08,04:08
19311,Danaus plexippus,42.09988,-82.492049,5637,2012-08-05,2012,8,5,03:08,04:08
19324,Danaus plexippus,42.09988,-82.492049,5638,2012-08-06,2012,8,6,03:08,04:08
19339,Danaus plexippus,45.40648,-75.95625,5648,2012-08-13,2012,8,13,12:30,13:00
19346,Danaus plexippus,45.46039,-75.99938,5649,2012-08-13,2012,8,13,13:00,13:20
19362,Danaus plexippus,45.16279,-75.21513,5656,2012-08-14,2012,8,14,13:00,13:20
19369,Danaus plexippus,45.16407,-75.21585,5657,2012-08-14,2012,8,14,13:00,13:20
19382,Danaus plexippus,45.16568,-75.20903,5660,2012-08-14,2012,8,14,13:30,13:50
19389,Danaus plexippus,45.08259,-75.30983,5661,2012-08-14,2012,8,14,12:30,12:50
19405,Danaus plexippus,45.4189,-75.5535,5665,2012-08-12,2012,8,12,12:00,15:00
19406,Danaus plexippus,45.384693,-75.706698,5666,2012-07-20,2012,7,20,11:30,11:50
19407,Danaus plexippus,45.384693,-75.706698,5667,2012-07-27,2012,7,27,10:15,10:20
19413,Danaus plexippus,45.386882,-75.703215,5669,2012-08-15,2012,8,15,02:08,03:08
19418,Danaus plexippus,45.384693,-75.706698,5671,2012-08-01,2012,8,1,16:00,17:00
19420,Danaus plexippus,45.389308,-75.707635,5670,2012-08-15,2012,8,15,02:08,03:08
19427,Danaus plexippus,45.352105,-75.816189,5676,2012-08-07,2012,8,7,09:45,10:45
19436,Danaus plexippus,45.62932,-72.920047,5678,2012-08-15,2012,8,15,11,12
19479,Danaus plexippus,43.743251,-80.951363,5688,2012-08-15,2012,8,15,15:30,17:15
19485,Danaus plexippus,43.741304,-80.948574,5689,2012-08-15,2012,8,15,12:00,19:00
19487,Danaus plexippus,45.384693,-75.706698,5692,2012-07-27,2012,7,27,10:00,10:15
19488,Danaus plexippus,45.384693,-75.706698,5693,2012-07-20,2012,7,20,10:15,10:50
19503,Danaus plexippus,45.315707,-75.864448,5695,2012-08-14,2012,8,14,15:00,15:30
19518,Danaus plexippus,45.432636,-76.034526,5697,2012-08-15,2012,8,15,10:30,13:00
19528,Danaus plexippus,45.38838,-75.706648,5698,2012-08-15,2012,8,15,15:45,17:45
19558,Danaus plexippus,42.09988,-82.492049,5713,2012-08-10,2012,8,10,01:08,02:08
19566,Danaus plexippus,42.09988,-82.492049,5715,2012-08-11,2012,8,11,01:08,02:08
19582,Danaus plexippus,42.09988,-82.492049,5716,2012-08-12,2012,8,12,13:17,13:55
19606,Danaus plexippus,42.09988,-82.492049,5718,2012-08-14,2012,8,14,02:08,03:08
19619,Danaus plexippus,41.954803,-82.522007,5719,2012-08-15,2012,8,15,02:08,03:08
19629,Danaus plexippus,42.09988,-82.492049,5720,2012-08-15,2012,8,15,02:08,03:08
19632,Danaus plexippus,45.37597,-75.935258,5722,2012-08-16,2012,8,16,10:45,11:15
19643,Danaus plexippus,43.73802,-81.07899,5726,2012-08-16,2012,8,16,11:30,12:00
19648,Danaus plexippus,45.115394,-66.082582,5731,2012-07-11,2012,7,11,18:30,19:00
